# command: taskset -c 2 python3 scripts/spike_explicit_state.py --opt all --iterations 1000000 --repetitions 9
# format: implementation<TAB>operation<TAB>batch<TAB>rep<TAB>ns_per_step<TAB>ns_per_event
# correctness, both Roc modes: observed_calls=18 resource_allocations=7 resource_deallocations=7 max_independent=2
# allocations, both Roc modes: roundtrip=0/step; transition=1/step and 1,0.25,0.0625/event for batches 1,4,16
# allocations, Go: roundtrip=0/step; unique=0/step; replace=1/step
roc-dev	roundtrip	0	0	26.282	26.282
roc-dev	roundtrip	0	1	26.257	26.257
roc-dev	roundtrip	0	2	26.223	26.223
roc-dev	roundtrip	0	3	26.164	26.164
roc-dev	roundtrip	0	4	26.141	26.141
roc-dev	roundtrip	0	5	26.136	26.136
roc-dev	roundtrip	0	6	26.122	26.122
roc-dev	roundtrip	0	7	26.150	26.150
roc-dev	roundtrip	0	8	26.124	26.124
roc-dev	transition	1	0	244.563	244.563
roc-dev	transition	1	1	241.293	241.293
roc-dev	transition	1	2	240.038	240.038
roc-dev	transition	1	3	239.507	239.507
roc-dev	transition	1	4	239.030	239.030
roc-dev	transition	1	5	239.412	239.412
